"Time","y","x_dfy","x_infl","x_svar","x_tms","x_tbl","x_dfr","x_dp","x_ltr","x_ep","x_bmr","x_ntis"
199004,-0.000130995943903402,0.00839999999999999,0.00546875,0.001032245,0.00990000000000001,0.079,0.0033,-3.40237475272887,-0.0044,-2.75284031590094,0.471333956,-0.01029144
199005,0.120121443774181,0.00839999999999999,0.001554002,0.000966777,0.0147,0.0777,0.0011,-3.3650100525897,-0.0202,-2.7319133890179,0.480284256,-0.01014928
199006,0.0171203655364685,0.00939999999999999,0.002327386,0.001361447,0.0109,0.0774,-0.003,-3.44300261277155,0.0415,-2.82627817004281,0.443569974,-0.002261811
199007,0.0207354451941901,0.0096,0.005417957,0.001350826,0.00910000000000001,0.0773,-0.0014,-3.42416741305313,0.023,-2.82376147784824,0.442949432,-0.000507275
199008,-0.0678249810908539,0.0096,0.003849115,0.001298437,0.00979999999999999,0.0762,-0.000499999999999999,-3.4140552062755,0.0107,-2.81102692540476,0.439212447,0.004885058
199009,-0.0204785994553252,0.01,0.009202454,0.005827789,0.0175,0.0745,0.0127,-3.31014068858354,-0.0419,-2.70452220561296,0.488073563,0.00143921
199010,0.0254661132540591,0.0108,0.008358663,0.001984792,0.0178,0.0736,-0.0026,-3.25277174304258,0.0117,-2.64459460560402,0.520289666,0.001372877
199011,0.0937306572159129,0.0121,0.006028636,0.004492764,0.0181,0.0717,-0.0083,-3.23897783908143,0.0215,-2.6440242496284,0.522451921,-0.000470684
199012,0.0563542202968799,0.0132,0.002247191,0.002439892,0.0152,0.0706,-0.0117,-3.29016123949552,0.0402,-2.70842423914205,0.498505655,0.000909887
199101,0.0729553181434187,0.0138,0,0.000794596,0.017,0.0674,-0.002,-3.30771134106432,0.0187,-2.73917585313008,0.48449686,-0.001845908
199102,0.097680008840267,0.0141,0.005979073,0.003193549,0.0215,0.0622,0.002,-3.34772868644372,0.013,-2.78612097881033,0.4663078,0.00072156
199103,0.0508034839377897,0.0124,0.001485884,0.002431347,0.0247,0.0594,0.0091,-3.41218183736152,0.003,-2.85754572922146,0.442720441,0.001246896
199104,0.0273676387667542,0.0116,0.00148368,0.001375056,0.0253,0.0591,0.007,-3.43348096305046,0.0038,-2.88585131517307,0.4571256,0.003251396
199105,0.0662173645834035,0.0108,0.001481482,0.002072775,0.0272,0.0565,-0.000200000000000001,-3.4328121924048,0.014,-2.91085451518948,0.461239599,0.005730157
199106,-0.0209241394875134,0.01,0.00295858,0.001585169,0.0299,0.0546,0.0039,-3.46964162966278,0,-2.97398649450044,0.439966969,0.006982105
199107,0.0728134962645449,0.00949999999999999,0.002949853,0.00117989,0.0303,0.0557,0.0045,-3.41955101076684,-0.0063,-2.95084483930406,0.458243743,0.014247489
199108,0.0466013369702334,0.00890000000000001,0.001470588,0.00110533,0.0292,0.0558,0.001,-3.45992419610997,0.0157,-3.02241236824661,0.440356782,0.014835553
199109,0.00730898733945987,0.00900000000000001,0.002936858,0.002037637,0.0285,0.0533,-0.0065,-3.4758937862326,0.034,-3.0703442058919,0.437639637,0.017331298
199110,0.0392548841764579,0.00900000000000001,0.004392387,0.000474697,0.0268,0.0522,-0.0032,-3.45307977608751,0.0303,-3.08032302772543,0.441531837,0.023289044
199111,-0.0166656909727967,0.00939999999999999,0.001457726,0.001125662,0.0292,0.0499,-0.0011,-3.46682705488914,0.0054,-3.12733339531952,0.434003454,0.025508896
199112,0.140317323823027,0.0097,0.002911208,0.00204902,0.0333,0.0456,0.0024,-3.42386589945341,0.0082,-3.11891135120837,0.46015449,0.030689947
199201,0.00606008134853727,0.00950000000000001,0.000725689,0.00204955,0.0323,0.0407,-0.0145,-3.53162020269986,0.0581,-3.26259006362264,0.420344417,0.031812384
199202,0.0368176508031383,0.0093,0.001450326,0.000872443,0.0396,0.038,0.0151,-3.50822272816111,-0.0324,-3.23791025981223,0.413229679,0.031941467
199203,0.00463581297026887,0.00939999999999999,0.003620565,0.000913228,0.0393,0.0384,0.0045,-3.51444775649056,0.0051,-3.24286493527715,0.407630525,0.033556021
199204,0.0552229544798834,0.00899999999999999,0.005050505,0.000469757,0.0393,0.0404,0.0021,-3.48909867594821,-0.0094,-3.21625348899309,0.402106034,0.041900538
199205,0.027861341303855,0.0088,0.00143575,0.001661044,0.0428,0.0375,0,-3.51671494110606,0.0016,-3.22621076933283,0.387303472,0.03866181
199206,0.00910798619509011,0.00850000000000001,0.001433692,0.000690029,0.0418,0.0363,0.0011,-3.51779206626598,0.0243,-3.20992956523819,0.382998516,0.037175489
199207,0.0665255134736452,0.0083,0.003579098,0.000752919,0.0399,0.0366,-0.0044,-3.50038629469557,0.02,-3.17546004907141,0.392042354,0.04307656
199208,0.00256591157523707,0.00770000000000001,0.0021398,0.000897463,0.0405,0.0321,-0.009,-3.53697749284153,0.0398,-3.19490849580143,0.3833487,0.041494792
199209,0.0364464386649676,0.00699999999999999,0.002846975,0.000369547,0.0412,0.0313,0.0023,-3.51066424856366,0.0067,-3.15180898317332,0.399405037,0.043049956
199210,0.0294683183089039,0.00699999999999999,0.002838893,0.000872241,0.0419,0.0291,-0.0086,-3.51770968363531,0.0185,-3.14241133448799,0.397656972,0.041137782
199211,0.0575533622659244,0.00850000000000001,0.00353857,0.000944145,0.0455,0.0286,0.0042,-3.52008001133237,-0.0198,-3.12529986637045,0.403251178,0.041096099
199212,0.0360238964698777,0.0086,0.001410437,0.000508095,0.0435,0.0313,0.0059,-3.55016734672068,0.001,-3.13625954871231,0.393626459,0.037986652
199301,0.0332453184202752,0.0083,-0.000704225,0.000471552,0.0404,0.0322,-0.0018,-3.56049082149087,0.0246,-3.12781224669454,0.394109614,0.038828688
199302,0.0366549165704652,0.0076,0.004933051,0.000348851,0.0425,0.03,-0.003,-3.56498802299082,0.028,-3.12182265848577,0.393048105,0.041753842
199303,0.0443455574395563,0.0068,0.003506311,0.001146897,0.0405,0.0293,-0.0098,-3.57289132327726,0.0354,-3.11940795820936,0.385960197,0.04072817
199304,-0.000152786919556769,0.0057,0.00349406,0.001004725,0.0407,0.0295,4e-04,-3.58890459316654,0.0021,-3.12525172283553,0.333613526,0.037106415
199305,0.0489355635066502,0.0068,0.002785515,0.001004785,0.0414,0.0287,-0.002,-3.56198193462992,0.0072,-3.10811181948652,0.334349806,0.039812686
199306,0.0260755003518471,0.0078,0.001388889,0.000817308,0.0405,0.0296,-0.0027,-3.58327729191808,0.0047,-3.13925525030617,0.324882422,0.040254629
199307,0.0200690818682164,0.00739999999999999,0.001386963,0.000573851,0.0361,0.0307,-0.0156,-3.58285771392411,0.0449,-3.14876637428576,0.325931248,0.041154021
199308,0.0598740835842437,0.0076,0,0.000608963,0.0352,0.0304,-0.0091,-3.57762022969084,0.0191,-3.12497247624172,0.323777031,0.041007787
199309,0.0144216673618117,0.00749999999999999,0.002770083,0.000281569,0.0321,0.0302,-0.0147,-3.61158449941997,0.0434,-3.14070667271361,0.313864983,0.040192937
